country,year,"Life expectancy at birth, female (years)","Life expectancy at birth, total (years)","Life expectancy at birth, male (years)",Urban population (% of total population),Rural population (% of total population),Population growth (annual %),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",GDP (current US$),GDP per capita (current US$),GDP per capita growth (annual %),GNI (current US$),Military expenditure (% of GDP),General government final consumption expenditure (current US$),Access to electricity (% of population),Food exports (% of merchandise exports),Food production index (2014-2016 = 100),Households and NPISHs final consumption expenditure (% of GDP),"School enrollment, tertiary (% gross)"
IND,2017,71.856,70.467,69.159,33.6,66.4,1.15562449067646,3.32817337461301,3.96925793352338,2651474263257.15,1957.96981368095,5.56833351357233,2622801077147.31,2.53151136056791,285489509159.833,91.7941589355469,11.6772125285785,108.86,58.725149676261,27.4421348571777
IND,2016,71.503,70.117,68.81,33.182,66.818,1.18504622906796,4.94821634062142,3.23797495080767,2294796889945.04,1714.2795405846,6.9809897013302,2247939055750.25,2.54315152114541,236560240617.216,89.5863037109375,11.1636147178675,102.26,59.2952812328071,26.8292198181152
IND,2015,71.077,69.636,68.285,32.777,67.223,1.18779532005068,4.90697344127254,2.27958810849833,2103588347241.77,1590.17432166504,6.72106763067042,2079182852983.18,2.45745006060163,219368308174.938,88.0,11.3300090451308,98.49,59.007281077807,26.7689933776855
IND,2014,70.602,69.074,67.651,32.384,67.616,1.24036218382689,6.665656718679,3.33175691706154,2039126469963.35,1559.86377161811,6.0861802271277,2015014411870.51,2.54398176462257,212902274865.372,85.1339111328125,11.3379606823476,99.25,58.1277171013104,25.4321250915527
IND,2013,70.083,68.46,66.961,32.003,67.997,1.29754883539168,10.0178784746103,6.1865039792641,1856721494834.64,1438.05699513067,5.01461186440864,1833600938195.01,2.5488248901417,191152451283.416,83.1313934326172,11.119220894849,96.6,57.6457660908404,23.7947120666504
IND,2012,69.592,67.887,66.324,31.634,68.366,1.33219204981494,9.47899691419793,7.93438627031915,1827637579584.79,1434.01797842656,4.06082356979447,1806177385584.8,2.61816634758562,195262171401.755,79.9,10.5448114624969,92.35,56.4609537778702,24.2679805755615
IND,2011,69.106,67.359,65.765,31.276,68.724,1.36158808453343,8.9117933648337,8.73358014404614,1823051829894.55,1449.60330101065,3.81807313030191,1807020595447.34,2.70448222276966,202075479769.498,79.5167846679688,8.9586003069655,90.1,56.2072185843836,22.7646446228027
IND,2010,68.645,66.909,65.327,30.93,69.07,1.37759581159767,11.9893899204243,10.5260308561853,1675615502766.2,1350.63445681517,7.0131745803792,1657660485633.28,2.88946327164641,184445183910.944,76.3,8.25712910075079,84.84,54.7248577620517,17.8338851928711
IND,2009,68.215,66.513,64.962,30.587,69.413,1.39119493033754,10.8823529411765,7.04036543496747,1341888016988.57,1096.63613605864,6.37170938858857,1333878515190.13,3.12938472737472,153775903892.302,75.0,7.97883155634453,78.84,55.9598884653931,16.0309295654297
IND,2008,67.786,66.149,64.654,30.246,69.754,1.42239150883577,8.34926704907581,9.19396962626338,1198895147694.77,993.503412459599,1.63078058948642,1191736980456.35,2.63146078124112,126345339224.248,74.1184921264648,9.94992191512781,80.37,56.6768159816226,15.0472097396851
